z,mass,mass_err,SFR,sSFR,Z_Mannucci,Z_Dopita,deltaZ,Z_R23,Z_NHa,q,surf_bright,HaHb,bdec_frac_err,logR23,logNHa,OIII/OII,NII/OII,OIII/SII,NII/SII,Hbeta_ratio,Hdelta_eqw,D4000,vdisp,A_v
0.135,10.770,0.175,-0.201,-10.970,9.039,9.185,0.146,9.039,0.000,7.305,20.258,3.590,0.054,0.352,-0.344,-0.828,-0.160,-0.483,0.185,0.688,1.962,1.401,103.506,0.616
0.085,10.125,0.188,-0.619,-10.744,8.905,8.961,0.056,8.823,8.987,7.177,20.867,4.034,0.065,0.633,-0.452,-0.738,-0.539,-0.230,-0.032,0.715,0.841,1.281,0.000,0.517
0.125,10.471,0.188,-0.224,-10.695,8.839,9.088,0.249,8.839,0.000,7.394,20.405,3.701,0.062,0.617,-0.355,-0.671,-0.328,-0.225,0.118,0.572,2.791,1.363,64.662,0.531
0.122,10.938,0.204,0.067,-10.871,8.787,9.193,0.406,8.787,0.000,6.977,20.226,5.806,0.125,0.667,-0.342,-1.002,-0.490,-0.261,0.251,1.345,1.540,1.586,154.274,0.879
0.075,10.218,0.186,0.398,-9.820,8.981,9.149,0.168,8.981,0.000,7.350,19.283,4.066,0.015,0.441,-0.363,-0.750,-0.256,-0.318,0.175,0.297,5.880,1.180,103.425,1.167
0.133,10.482,0.176,0.065,-10.416,8.971,9.160,0.188,8.929,9.013,7.175,20.337,4.974,0.079,0.512,-0.431,-0.825,-0.417,-0.188,0.220,1.459,3.231,1.345,107.201,0.226
0.133,11.207,0.209,0.715,-10.493,8.906,9.194,0.289,8.807,9.005,6.828,19.598,6.214,0.070,0.649,-0.438,-1.155,-0.576,-0.349,0.230,1.055,4.175,1.341,188.223,0.889
0.094,10.044,0.162,-0.254,-10.298,8.909,8.992,0.083,8.928,8.891,7.127,20.850,4.382,0.047,0.514,-0.543,-0.810,-0.517,-0.309,-0.016,0.553,5.859,1.245,59.573,1.373
0.084,10.752,0.183,0.251,-10.501,8.937,9.196,0.258,8.937,0.000,7.090,19.761,4.817,0.027,0.502,-0.296,-0.992,-0.285,-0.516,0.191,0.478,4.759,1.212,117.650,1.397
0.084,10.149,0.172,-0.207,-10.356,9.041,9.175,0.133,9.129,8.954,7.039,20.650,4.104,0.031,0.190,-0.482,-1.103,-0.172,-0.844,0.087,0.362,5.077,1.128,24.958,1.545
0.151,10.931,0.207,0.030,-10.901,8.982,9.161,0.179,8.982,0.000,7.156,20.178,4.891,0.130,0.440,-0.387,-0.918,-0.290,-0.472,0.155,1.417,1.607,1.500,158.075,0.716
0.104,9.712,0.296,0.175,-9.537,8.708,8.714,0.006,8.718,8.698,7.517,20.626,3.507,0.020,0.725,-0.764,-0.248,-0.788,0.382,-0.157,0.176,7.101,1.087,79.094,1.210
0.107,10.208,0.173,-0.068,-10.276,9.020,9.106,0.085,9.020,9.020,7.306,20.367,4.019,0.036,0.382,-0.426,-0.788,-0.258,-0.436,0.094,0.635,5.462,1.247,76.258,1.704
0.111,10.570,0.197,0.532,-10.039,8.985,9.083,0.098,8.930,9.039,7.229,20.356,4.871,0.024,0.511,-0.411,-0.790,-0.381,-0.316,0.093,0.293,5.664,1.152,138.934,1.415
0.082,10.138,0.165,-0.359,-10.497,8.980,9.099,0.119,8.985,8.976,7.200,20.146,4.387,0.050,0.436,-0.462,-0.830,-0.366,-0.361,0.103,0.867,3.519,1.247,85.243,0.892
0.080,10.213,0.194,-0.729,-10.942,8.945,8.918,-0.027,8.861,9.029,7.331,19.637,3.428,0.059,0.593,-0.419,-0.653,-0.439,-0.302,-0.088,1.329,2.638,1.405,89.174,0.163
0.126,10.653,0.190,0.301,-10.352,9.014,9.163,0.149,9.071,8.957,7.169,20.388,4.706,0.043,0.299,-0.479,-0.926,-0.248,-0.536,0.143,0.551,5.294,1.206,98.710,1.402
0.074,9.758,0.166,-0.848,-10.606,8.914,8.939,0.026,8.880,8.947,6.989,20.872,3.831,0.068,0.571,-0.488,-0.954,-0.537,-0.534,-0.117,0.758,5.481,1.255,71.906,0.598
0.085,10.416,0.204,-0.387,-10.803,9.018,9.252,0.234,9.018,0.000,7.241,20.510,5.425,0.132,0.385,-0.307,-0.893,-0.154,-0.445,0.294,1.555,2.282,1.520,104.313,1.153
0.133,10.665,0.198,0.390,-10.274,9.011,9.252,0.241,9.011,0.000,7.175,20.415,5.495,0.053,0.396,-0.288,-0.954,-0.170,-0.507,0.277,0.579,3.315,1.273,123.709,0.960
0.080,9.905,0.180,-0.662,-10.567,8.978,9.021,0.043,8.989,8.966,7.141,20.812,3.649,0.048,0.429,-0.471,-0.892,-0.367,-0.561,-0.036,0.510,5.494,1.204,21.095,1.283
0.161,11.173,0.202,0.770,-10.403,9.020,9.251,0.230,9.021,9.019,7.058,19.890,5.623,0.058,0.381,-0.426,-1.027,-0.292,-0.442,0.292,0.795,4.021,1.328,186.722,1.502
0.128,10.617,0.198,0.247,-10.370,9.075,9.239,0.164,9.075,0.000,7.167,20.408,4.760,0.051,0.290,-0.364,-0.970,-0.144,-0.590,0.235,0.563,4.566,1.269,121.957,0.991
0.079,10.470,0.180,-0.047,-10.516,9.022,9.149,0.127,9.024,9.019,7.202,20.201,4.825,0.041,0.377,-0.426,-0.881,-0.269,-0.473,0.139,0.577,5.803,1.319,71.666,1.319
